<date>;<bid_top>;<bid_quantity>;<bid_amount>;<ask_top>;<ask_quantity>;<ask_amount>
03.10.2019 0:22:14;8496.62866235;11797.80610269;1296820.83240389;9400.50133372;277.61156511;3708212.64669538
03.10.2019 0:23:15;8494.24914247;11797.27341515;1292524.43162193;8500;277.62123621;3708302.3483403
03.10.2019 0:24:15;8500.31;11797.98389173;1298553.64404775;8520.15999982;277.31910784;3705742.7383389
03.10.2019 0:25:15;8506.64;11796.64094159;1287194.20648258;8523.02999999;277.19933591;3704683.518825
03.10.2019 0:26:16;8502.08000003;11797.6876026;1296031.3343601;8523.02999999;277.16600246;3704306.4432213
03.10.2019 0:27:16;8514.008514;11796.63093379;1287120.91548656;8523.56;277.17421856;3704420.41444008
03.10.2019 0:28:16;8499.9;11797.25269493;1292334.36724767;8520.63;277.18917642;3704656.78034473
03.10.2019 0:29:17;8501.55000015;11797.47161043;1294202.26047871;8521.34999999;277.19780158;3704730.05031774
03.10.2019 0:30:17;8496.43200003;11798.44448185;1302466.68062931;8520.22999899;277.23180164;3705022.89095266
03.10.2019 0:31:17;8516.66;11797.96601989;1298399.22210193;8523.56;277.19333506;3704694.96238103
03.10.2019 0:32:18;8516.66;11797.718485;1296298.99046174;8522.53;277.19336087;3704692.83148071
03.10.2019 0:33:18;8516.66;11796.32119101;1284526.25746436;8522.81;277.17947824;3704528.45073336
03.10.2019 0:34:18;8516.66;11797.70080208;1296194.41970398;8523.45;277.42836093;3706650.28629765
03.10.2019 0:35:19;8516.66;11797.72720988;1296415.76179124;8522.62;277.16936093;3704442.4338083
03.10.2019 0:36:19;8516.66;11797.52386772;1294679.61322565;8522.62;277.16936099;3704442.43389677
03.10.2019 0:37:19;8516.66;11797.12914517;1291345.42795751;8522.62;277.16936099;3704442.43389677
03.10.2019 0:38:20;8516.66;11797.08601605;1291026.04185266;8522.62;277.16936099;3704442.44775847
03.10.2019 0:39:20;8516.66;11797.26315058;1292468.81924136;8522.62;277.16965745;3704445.00525632
03.10.2019 0:40:20;8516.66;11797.95164477;1298326.47921771;8523.22;277.21465745;3704829.49092877
03.10.2019 0:41:21;8498.15000006;11797.92779956;1298129.80852721;8517.24;277.17915999;3704525.99717684
03.10.2019 0:42:21;8499.67000068;11797.72793382;1296400.05863873;8516.85999918;277.45999638;3706924.50830496
03.10.2019 0:43:21;8516.86851579;11796.95723882;1289929.11924893;8520;277.42383888;3706616.20728767
03.10.2019 0:44:22;8516.86851579;11796.93550074;1289725.23738545;8520;277.40885619;3706489.81302428
03.10.2019 0:45:22;8516.86851579;11797.81467355;1297141.19755204;8520;277.41083894;3706505.13750359
03.10.2019 0:46:23;8516.86851579;11797.624691;1295533.27484851;8520;277.42623662;3706639.10473197
03.10.2019 0:47:23;8516.86851579;11797.17370074;1291751.46538947;8520;277.16946792;3704442.03708599
03.10.2019 0:48:23;8516.86851579;11797.52259557;1294674.4031856;8520;277.36472304;3706108.29077338
